Ë≠âÂà∏‰ª??,Ë≠âÂà∏?çÁ®±,?ê‰∫§?°Êï∏,?ê‰∫§?ëÈ?,?ãÁõ§???ÄÈ´òÂÉπ,?Ä‰ΩéÂÉπ,?∂Áõ§??Êº≤Ë??πÂ∑Æ,?ê‰∫§Á≠ÜÊï∏,,,
1213,Â§ßÈ£≤,"77,100","391,088",5.56,5.56,5.01,5.08,-0.48,19,
1215,?úË?,"1,061,980","54,660,056",51.9,52.1,51,51,-0.4,799,
1216,Áµ±‰?,"18,256,131","1,156,887,853",64.5,64.5,61.9,61.9,-3,"8,307",
1217,"?õ‰???,2",184,"535""","13,132,909",5.92,6.1,5.92,6,0.09,813
1218,Ê≥∞Â±±,"1,311,243","25,257,983",19.8,19.9,18.8,18.9,-0.8,761,
1219,Á¶èÂ£Ω,"174,750","3,087,036",17.1,18.7,16.8,18.35,1.25,129,
1220,?∞Ê¶Æ,"126,000","1,184,020",9.5,9.6,9.33,9.33,-0.05,77,
1225,"Á¶èÊ?Ê≤?,90","017""","2,615,045",29,29.3,28.8,29.2,-0.7,82,
1227,‰Ω≥Ê†º,"2,754,013","147,727,894",53.1,54.7,52.6,54.2,1.7,"2,160",
1229,?ØËèØ,"3,955,634","126,358,933",31.9,32.35,31.75,31.8,-0.05,"2,589",
1231,"?ØËèØÈ£?,369","641""","12,625,812",34.2,34.3,34.05,34.05,-0.05,279,
1232,"Â§ßÁµ±??,197","081""","20,009,762",102,102.5,100.5,101,0.5,265,
1233,Â§©‰?,"133,500","4,401,450",32.9,33.3,32.6,33.05,-0.3,94,
1234,ÈªëÊùæ,"219,307","6,338,987",29.05,29.5,28.75,29.45,0.05,120,
1235,?àÊ≥∞,"50,286","1,170,119",23.35,23.8,22.9,23.7,-0.05,46,
1236,ÂÆè‰?,"44,256","465,907",10.65,10.7,10.2,10.3,-0.25,42,
1256,ÈÆÆÊ¥ª?úÊ?-KY,"171,836","30,406,800",180,181,171,177,-2.5,255,
1301,?∞Â?,"24,594,228","1,764,474,498",74.4,74.4,70,70,-4.6,"13,287",
1303,?ó‰?,"18,968,989","1,020,676,117",56.5,56.5,51.6,52.4,-3.6,"8,615",
1304,?∞Ë?,"1,964,664","18,926,243",9.66,9.75,9.5,9.5,-0.14,879,
1305,?ØÂ?,"5,992,130","79,101,440",14.1,14.2,12.9,12.9,-1.2,"3,896",
1307,‰∏âËä≥,"325,443","5,585,361",17.6,17.6,16.65,16.85,-0.75,199,
1308,‰∫ûË?,"1,625,727","21,676,491",13.55,13.65,13.05,13.1,-0.25,"1,110",
1309,"?∞È???,809","635""","6,240,585",7.66,7.8,7.63,7.66,0.01,381,
1310,?∞ËãØ,"3,498,664","46,763,514",13.7,13.75,13,13.45,-0.25,"1,748",
1312,?ãÂñ¨,"5,084,496","61,762,873",12.4,12.5,11.8,11.8,-0.55,"2,225",
1312A,"?ãÂñ¨??,45","000""","1,356,300",30.4,30.5,30,30.25,-0.75,29,
1313,?ØÊ?,"1,944,225","15,632,840",8.03,8.1,8,8,-0.02,654,
1314,"‰∏≠Áü≥??,24",637,"860""","170,957,990",6.84,7.08,6.8,6.82,-0.01,"6,643"
1315,?îÊñ∞,"1,437,536","63,227,739",44.5,44.65,43.55,43.95,-1.25,926,
1316,‰∏äÊ?,"1,147,850","9,599,135",8.2,8.49,8.2,8.38,0.18,454,
1319,?±ÈôΩ,"1,809,027","53,436,814",30,30.2,29.05,29.05,-0.65,"1,452",
1321,Â§ßÊ?,"362,000","8,380,700",23.1,23.8,22.85,22.9,-0.2,202,
1323,Ê∞∏Ë?,"330,555","9,598,771",29.85,29.85,28.35,28.35,-1.6,207,
1324,?∞Á?,"47,000","355,210",8.09,8.09,7.42,7.51,0.03,31,
1325,?ÜÂ§ß,"13,317,989","506,953,832",38.45,39.4,36.5,38,0.6,"7,272",
1326,?∞Â?,"20,728,266","1,312,997,770",65.9,65.9,61.4,61.7,-4.5,"10,629",
1337,?çÁ?-KY,"662,119","2,454,552",3.68,3.78,3.64,3.65,0.02,305,
1338,Âª?èØ-KY,"334,127","12,556,340",38.1,38.85,35,35,-3.1,280,
