Ë≠âÂà∏‰ª??,Ë≠âÂà∏?çÁ®±,?ê‰∫§?°Êï∏,?ê‰∫§?ëÈ?,?ãÁõ§???ÄÈ´òÂÉπ,?Ä‰ΩéÂÉπ,?∂Áõ§??Êº≤Ë??πÂ∑Æ,?ê‰∫§Á≠ÜÊï∏,,,
3705,Ê∞∏‰ø°,"640,089","25,351,553",40,40,39.35,39.45,-0.55,450,
3706,Á•ûÈ?,"15,905,926","424,343,079",27,27.35,25.9,26,-0.8,"7,138",
3708,‰∏äÁ∑Ø?ïÊéß,"850,224","49,395,703",59.8,59.8,56.8,56.8,-0.8,874,
3711,"?•Ê??âÊ???,16",818,"524""","952,401,002",57.4,57.6,55.5,55.5,-2.2,"6,482"
3712,Ê∞∏Â¥¥?ïÊéß,"832,694","8,901,544",11,11.3,10.05,10.1,-0.9,565,
4104,‰Ω≥ÈÜ´,"298,311","14,827,169",49.8,50.1,49.5,49.6,0,245,
4106,?ÉÂ?,"619,100","11,939,987",19.85,20.35,18.05,18.1,-1.55,446,
4108,?∑Áâπ,"381,119","4,647,253",12.5,13,11.7,12,-0.5,288,
4119,?≠Â?,"3,485,010","337,032,025",100.5,101,93,93,-5.5,"2,560",
4133,"‰∫ûË´æÊ≥?,4",68,"658""","137,496,626",32.9,35.3,32.4,33.1,0.75,"2,873"
4137,È∫óË?-KY,"669,300","109,619,800",168,169,160,161,-3.5,576,
4141,ÈæçÁ?-KY,"235,209","2,814,116",12,12.15,11.75,11.8,-0.2,121,
4142,"?ãÂ???,23",860,"954""","702,499,197",29.85,30.3,28.6,28.8,-0.05,"10,736"
4144,Â∫∑ËÅØ-KY,"741,578","15,009,899",20.2,20.6,20.2,20.2,-2.2,385,
4148,?®Â??üÊ?-KY,"115,019","2,378,218",21.2,21.5,20.4,20.6,0.2,93,
4155,Ë®äÊ?,"667,752","17,027,037",25.8,26.15,25,25,-0.6,348,
4164,"?øÊ•≠??,1",609,"000""","47,761,550",28.5,31.25,28.5,30.7,-0.7,829
4190,‰ΩêÁôª-KY,"336,000","22,529,600",67.4,68.8,65.2,65.2,-2,275,
4306,?éÊ¥≤,"1,330,791","13,070,951",9.6,9.96,9.6,9.88,0.21,511,
4414,Â¶ÇË?,"3,413,334","28,266,598",8.48,8.5,8.04,8.31,-0.09,"1,070",
4426,?©Âã§,"920,450","24,156,925",26.6,26.95,25.2,25.2,-0.9,620,
4438,Âª??,"156,071","17,945,552",117.5,117.5,114,115.5,-0.5,120,
4439,?†Ê?-KY,"32,000","3,730,500",120,120,112,117,-3,32,
4526,?±Âè∞,"482,080","5,566,023",11.6,11.75,11.45,11.45,-0.15,224,
4532,?ûÊô∫,"994,205","15,515,675",15.85,15.95,15.25,15.5,-0.35,564,
4536,?ìÂá±,"333,064","32,677,764",101.5,101.5,96,96.1,-4.4,267,
4540,?®Á??≥Â?,"377,080","14,751,559",38.8,40.1,38.05,38.2,-0.1,288,
4545,?òÈà∫,"205,740","4,534,778",21.15,22.7,21.15,22.45,1.35,156,
4551,"?∫‰º∏Áß?,920","100""","94,530,968",106,108,99.2,99.7,-5.3,808,
4552,?õÈ?-KY,"357,671","9,029,275",24.7,26,24.7,25,0,225,
4555,Ê∞??,"40,000","1,665,750",41.55,42.75,41.3,41.35,-0.2,36,
4557,Ê∞∏Êñ∞-KY,"109,621","6,748,881",61.9,61.9,61.1,61.3,-0.7,105,
4560,Âº∑‰ø°-KY,"144,000","6,030,550",42.55,42.75,41.3,41.95,-0.6,104,
4562,Á©éÊº¢,"39,100","684,985",17.3,18,17.3,17.35,-1.45,29,
4564,?ÉÁ?,"673,971","18,101,765",26.7,27.4,26.6,26.6,0,532,
4566,?ÇÁ¢©Â∑•Ê•≠,"358,000","11,866,200",32.75,33.7,32.5,32.6,-0.15,181,
4571,?ûË?-KY,"68,155","2,949,472",45.05,46.3,42.3,42.65,-3.95,64,
4572,ÈßêÈ?,"87,300","6,867,808",77.7,80.2,77.7,77.8,-1.3,77,
4576,"Â§ßÈ?ÂæÆÁ≥ªÁµ?,393","740""","21,087,580",55.2,55.6,51.1,52,-2,328,
4581,?âÈ?Á≤æÂ?-KY,"117,000","3,851,850",32.5,33.2,32.5,32.5,0.5,61,
4720,Âæ∑Ê∑µ,"328,785","3,720,119",11.5,11.6,11.2,11.35,0,151,
4722,"?ãÁ≤æ??,695","933""","18,165,642",25.1,27.8,25,25.55,0.1,363,
4725,"‰ø°Ê???,948","240""","6,870,053",7.5,7.52,7.12,7.12,-0.24,326,
4737,?ØÂª£,"428,000","26,016,200",65,65.3,59,59.1,-6.4,311,
4739,Â∫∑ÊôÆ,"830,574","31,392,562",38.6,39.25,36.3,36.3,-1.4,580,
4746,?∞ËÄÄ,"8,789,267","369,660,835",45.75,46,40.05,40.45,-3.9,"5,731",
4755,"‰∏âÁ???,48","099""","1,995,028",42.5,42.5,40.8,41.35,-0.95,39,
4763,?êÊ?-KY,"596,111","57,175,278",95.1,98.3,95,95.3,1.3,468,
4764,?ôÈçµ,"146,100","7,724,250",51.5,54.5,51.5,51.9,-3,131,
4766,?óÂØ∂,"300,367","35,579,306",117,120.5,117,118,-1.5,265,
4807,?•Ê?-KY,"232,000","4,874,750",21.3,22.15,20.85,20.85,-2.3,112,
4904,?†ÂÇ≥,"7,424,367","463,903,721",61.5,63.5,61.1,63,0.3,"4,100",
4906,Ê≠??,"2,984,108","50,634,291",17.1,17.5,16.25,16.35,-0.55,"1,662",
4912,?ØÂæ∑?ßËÇ°-KY,"153,093","9,828,159",61,66.4,61,63,0.5,145,
4915,?¥‰º∏,"3,936,469","153,322,656",40.15,40.3,37.75,37.75,-1.55,"2,144",
4916,"‰∫ãÊ¨£Áß?,549","015""","12,754,111",23.1,23.6,22.65,22.65,-0.95,320,
4919,?∞Â?,"1,250,085","38,329,963",30.25,31.3,30.2,30.2,0,958,
4927,Ê≥∞È?-KY,"14,505,450","746,637,798",50.9,52.7,50,50.5,1.35,"9,431",
4930,"?¶Ê?Á∂?,192","400""","1,403,833",7.19,7.4,7.19,7.26,-0.14,97,
4934,Â§™Ê•µ,"2,867,061","32,202,099",11.6,11.9,10.45,10.45,-1,"1,174",
4935,?ÇÊ?-KY,"6,296,843","534,211,891",85,88,80.7,80.7,-2.1,"4,648",
4938,?åÁ¢©,"8,971,566","455,337,007",51,51.7,50.2,50.3,-0.4,"5,024",
4942,?âÂΩ∞,"745,260","20,764,964",27.8,28.35,27.55,27.6,-0.15,501,
4943,Â∫∑Êéß-KY,"3,680,139","336,295,447",91.9,93.5,88.4,89.3,1.2,"2,847",
4952,"?åÈÄ?,412","708""","10,820,491",26.9,26.9,25.95,26.05,-0.4,259,
4956,?âÈ?,"337,707","2,795,987",8.28,8.39,8.23,8.23,-0.02,219,
4958,?ªÈ?-KY,"11,451,605","944,291,602",80.8,85.4,80,81.1,1.9,"7,498",
4960,"Ë™†Á???,898","155""","3,734,078",4.1,4.47,3.9,4.14,-0.16,201,
4961,Â§©Èà∫,"1,159,901","25,840,080",22.4,23,21.35,21.4,-1.1,695,
4967,?ÅÈ?,"8,460,840","258,549,946",33.1,33.25,29.35,29.35,-3.25,"4,787",
4968,Á´ãÁ?,"5,348,089","590,398,667",114.5,116,103,103,-7.5,"3,843",
4976,‰Ω≥Â?,"1,233,084","17,250,274",14.1,14.6,13.3,13.5,-0.45,766,
4977,?æÈ?-KY,"2,662,256","227,045,000",90,90.5,80,80.1,-6.9,"1,985",
4989,Ê¶ÆÁ?,"431,000","5,852,900",14.05,14.05,13.1,13.1,-0.45,218,
4994,?≥Â?,"223,560","10,188,695",48.4,48.4,44.5,44.5,0.5,205,
4999,?´Á¶æ,"112,000","3,451,000",31.55,31.7,30.15,30.4,-1.15,100,
5007,‰∏âÊ?,"312,119","13,933,724",44.95,46,43.75,46,1.05,225,
5203,"Ë®äÈÄ?,1",510,"060""","139,713,807",95.4,97.2,90,90.1,-4.2,"1,321"
5215,ÁßëÂ?-KY,"1,342,600","68,214,119",49.5,52.2,49.4,50.4,1.9,"1,008",
5225,?±Á?-KY,"495,000","10,726,950",22.05,22.3,21.2,21.25,-0.1,336,
5234,?îË??êÊ?,"637,307","44,774,189",72.1,72.4,68.1,68.1,-3.4,502,
5243,‰πôÁ?-KY,"999,021","25,524,043",26,26.15,25.15,25.15,-0.75,597,
5258,?πÂ†°,"292,100","4,932,630",17.2,17.4,16.25,16.35,-0.65,183,
5264,?ßÂ?-KY,"4,509,150","159,199,060",34,36.5,33,34.65,1.15,"2,745",
5269,Á••Á¢©,"1,914,258","1,329,558,020",692,727,672,685,13,"1,848",
5283,"Á¶æËÅØÁ¢?,263","370""","24,073,399",92.2,92.8,90.6,90.9,-0.2,202,
5284,jpp-KY,"68,208","2,284,726",35.2,35.2,32.65,32.65,-2.45,50,
5285,?åÈ?,"346,011","13,055,501",36.8,39,36.8,37.4,0.05,229,
5288,Ë±êÁ••-KY,"136,186","12,699,498",94,94,92,92.1,-1.4,114,
5305,?¶Â?,"598,802","23,432,875",38.85,39.6,38.8,39,0.2,420,
5388,‰∏≠Á?,"2,028,550","123,299,200",61.4,61.6,59.3,59.3,-2,"1,437",
5434,Â¥áË?,"1,361,275","117,768,075",88,88.6,84,84,-3.4,"1,123",
5469,"?öÂ???,6",222,"492""","192,752,850",31.5,31.5,30.4,30.4,-0.1,"2,920"
5471,?æÁø∞,"6,854,630","241,494,431",35.5,36.2,34.5,34.5,0.05,"4,409",
5484,?ßÂ?,"254,477","1,887,281",7.47,7.47,7.1,7.44,0.04,52,
5515,Âª∫Â?,"937,542","7,392,529",8.09,8.26,7.71,7.79,-0.28,294,
5519,?ÜÂ§ß,"990,603","11,223,451",11.5,11.6,11.1,11.1,-0.3,488,
5521,Â∑•‰ø°,"2,497,213","15,751,652",6.6,6.64,6.12,6.12,-0.36,903,
5522,?†È?,"1,648,604","53,333,377",32.6,32.8,31.95,32.2,-0.4,"1,088",
5525,?ÜÂ§©,"141,400","2,413,739",17.2,17.5,16.7,17.2,0,114,
5531,?âÊ?,"1,261,084","9,515,842",7.83,7.83,7.31,7.7,0,536,
5533,?áÈ?,"146,292","2,085,081",14.25,14.5,14.05,14.05,-0.3,81,
5534,?∑Ëôπ,"908,301","63,242,739",70.1,70.9,67.8,68.1,-2,630,
5538,?±Ê?-KY,"12,000","317,950",24.8,27.8,24.8,27.8,2.5,12,
5607,"?†È?Ê∏?,1",485,"031""","26,705,114",18.15,18.35,17.6,17.7,-0.4,485
5608,"?õÁ∂≠??,807","890""","4,125,820",5.2,5.2,5.01,5.14,-0.18,318,
5706,È≥≥Âá∞,"431,927","10,163,483",25.65,25.65,23.15,23.15,-2.55,352,
5871,‰∏≠Á?-KY,"11,706,164","1,020,155,493",87.9,89,86.2,86.3,-1,"6,359",
5876,‰∏äÊµ∑?ÜÈ?,"11,271,026","429,547,467",38.2,39.1,37.2,38,-0.25,"5,071",
5880,"?àÂ∫´??,47",781,"712""","821,741,554",17.35,17.4,17.1,17.1,-0.25,"14,441"
5906,?∞Â?-KY,"18,000","301,000",16.6,17.05,16.4,16.9,0.1,16,
5907,Â§ßÊ?-KY,"382,500","6,438,300",16.9,17.45,16.25,16.75,0,245,
6005,"Áæ§Á?Ë≠?,3",648,"468""","30,375,571",8.39,8.43,8.28,8.3,-0.05,"1,133"
6024,"Áæ§Á???,573","227""","19,902,573",35.1,35.45,34.4,34.4,-0.6,390,
6108,Á´∂Â?,"791,006","14,435,664",19.1,19.1,17.7,17.7,-0.8,485,
6112,?öÁ¢©,"1,160,352","37,087,239",32.2,32.45,31.5,31.55,-0.5,788,
6115,?∞Â?,"326,000","12,578,300",38.8,38.8,38.4,38.5,-0.3,209,
6116,ÂΩ©Êô∂,"18,451,286","98,578,238",5.39,5.45,5.17,5.17,-0.12,"4,456",
6117,ËøéÂª£,"15,000","179,950",12.4,12.4,11.5,11.5,-0.8,15,
6120,?îÈ?,"2,507,458","22,630,570",9.24,9.36,8.51,8.51,-0.69,"1,188",
6128,‰∏äÁ?,"92,216","2,307,120",25.2,25.25,24.9,25.1,0.1,80,
6131,?ûÊ≥∞,"32,244","105,642",3.49,3.49,3.16,3.17,-0.32,35,
6133,?ëÊ?,"83,013","552,506",6.7,6.7,6.5,6.7,-0.24,48,
6136,"ÂØåÁàæ??,307","187""","4,936,819",16.05,16.2,15.9,15.9,-0.1,183,
6139,‰∫ûÁ?,"762,002","16,303,446",21.6,21.8,21.1,21.1,-0.15,396,
6141,?èÊâø,"1,040,057","14,741,798",14.35,14.45,13.9,13.9,0,562,
6142,?ãÂ?,"309,861","1,353,370",4.19,4.5,4.19,4.38,-0.07,101,
6152,?æ‰?,"128,210","569,614",4.62,4.62,4.32,4.37,-0.06,79,
6153,"?âËÅØ??,8",97,"829""","181,019,904",22.6,23.1,21.5,21.5,-0.6,"3,901"
6155,?ûÂØ∂,"366,050","6,454,745",17.9,17.95,17.1,17.2,-0.15,294,
6164,?ØË?,"280,000","1,386,940",4.82,5.1,4.82,4.93,-0.03,94,
6165,?∑Ê≥∞,"533,199","8,837,079",17,17.7,15.6,15.6,-1.3,232,
6166,?åËèØ,"1,062,639","57,606,710",52.3,56.5,52.3,56.5,2.4,747,
6168,ÂÆèÈ?,"620,098","6,268,967",10.2,10.3,9.91,9.93,-0.27,353,
6172,‰∫íÂ?,"37,000","700,300",18.9,19.2,18.7,18.9,0.35,30,
6176,?ûÂ?,"4,755,555","383,347,819",82.5,83.8,77.3,77.3,-4.7,"3,351",
6177,?îÈ?,"661,088","15,514,893",23.85,23.95,23.15,23.25,-0.55,323,
6183,?úË≤ø,"501,458","18,654,382",37.7,38.1,36.1,36.65,-1.45,345,
6184,"Â§ßË???,187","700""","7,231,069",38.5,38.7,38.2,38.5,-0.1,141,
6189,Ë±êË?,"1,769,525","50,857,402",29.4,29.4,28.35,28.35,-1.05,"1,120",
6191,"Á≤æÊ?Áß?,2",346,"400""","26,689,789",11.4,11.7,11.2,11.2,-0.1,872
6192,Â∑®Ë∑Ø,"290,768","16,331,498",55.5,57,55.4,55.5,0.2,267,
6196,Â∏ÜÂÆ£,"1,510,527","81,314,033",54.5,55,52.5,53.2,0.2,"1,176",
6197,"‰Ω≥Â???,1",51,"966""","23,420,862",23.2,23.4,21.3,21.5,-1.5,544
6201,"‰∫ûÂ???,183","000""","5,742,850",31.6,32.1,30.8,31,-0.6,150,
6202,?õÁæ§,"2,057,500","127,498,900",63.1,63.2,60.3,60.4,-3,"1,618",
6205,Ë©ÆÊ¨£,"45,040","882,987",19.6,19.85,19.35,19.6,-0.05,42,
6206,È£õÊç∑,"426,143","24,964,936",59.1,59.7,57.1,57.1,-1.9,357,
6209,"‰ªäÂ???,803","269""","12,701,235",16,16.25,15.35,15.35,-0.4,519,
6213,?ØË?,"13,578,297","1,602,083,843",115,121,112.5,118,8,"8,021",
6214,Á≤æË?,"1,127,229","81,865,710",73.2,73.8,71.5,71.6,-1.3,865,
6215,?åÊ§ø,"277,193","2,865,320",10.3,10.45,10.25,10.4,0.15,124,
6216,Â±ÖÊ?,"195,050","4,521,310",23.2,23.75,22.6,22.6,-1.15,176,
6224,?öÈ?,"309,597","15,888,902",52,52.3,50.6,50.8,-0.8,271,
6225,"Â§©ÁÄ?,49","745""","98,375",1.98,1.98,1.98,1.98,X0.00,6,
6226,?âÈ?,"914,027","5,744,202",6.37,6.37,6.22,6.25,-0.05,372,
6230,Ë∂ÖÁúæ,"3,699,713","677,057,257",176,189,175.5,189,17,"2,874",
6235,?ØÂ?,"469,561","3,757,188",7.96,8.34,7.9,7.95,-0.01,235,
6239,?õÊ?,"7,785,459","608,329,484",81.8,81.9,75.8,76,-3.7,"5,055",
6243,ËøÖÊù∞,"178,009","1,104,484",6.32,6.32,6.05,6.17,-0.15,101,
6251,ÂÆöÁ?,"4,660,514","62,827,131",13.7,13.95,13,13.05,-0.55,"1,945",
6257,?ΩÊ†º,"5,780,590","179,486,997",31.4,31.8,30.2,30.2,-0.85,"3,156",
6269,?∞ÈÉ°,"6,239,041","562,066,939",91.8,91.9,87,87,-2.8,"3,775",
6271,"?åÊ¨£??,3",707,"478""","376,502,566",104.5,105,98.8,99,-2,"2,560"
6277,ÂÆèÊ≠£,"313,000","24,408,100",79,79.5,77.2,77.2,-1.5,256,
6278,"?∞Ë°®Áß?,7",381,"320""","475,054,440",66.9,67.4,61.4,61.4,-3.4,"5,273"
6281,"?®Â???,242","350""","14,995,728",62.5,62.5,61.1,61.1,-1.2,216,
6282,Â∫∑Ë?,"2,436,920","42,443,846",17.6,17.8,17,17,-0.4,"1,314",
6283,Ê∑≥Â?,"587,950","8,054,629",13.65,14.3,13.4,13.4,-0.25,299,
6285,?üÁ?,"3,088,068","158,439,334",52.5,53.2,50,50.1,-2,"1,973",
6288,?ØÂ?,"1,727,515","27,682,411",16.05,16.4,15.75,15.75,0.15,838,
6289,?Ø‰?,"64,977","101,392",1.66,1.66,1.55,1.55,-0.11,69,
6405,?ÖÂ?,"88,000","970,450",11.3,11.3,10.7,11,-0.2,50,
6409,?≠Èöº,"357,071","218,395,526",605,625,605,611,10,206,
6412,Áæ§Èõª,"1,478,185","69,114,631",47.45,47.7,46.05,46.2,-1,"1,203",
6414,Ê®∫Êº¢,"2,101,533","312,628,318",154.5,158,142,143,-8.5,"1,828",
6415,?ΩÂ?-KY,"1,669,948","1,280,011,872",803,804,712,712,-66,"1,624",
6416,"?ûÁ•∫?ªÈÄ?,7",605,"468""","893,830,852",117.5,121,112,114,-1,"5,876"
6431,?âÈ?-KY,"95,000","1,987,150",20.5,21.05,20.5,20.5,-0.3,20,
6442,?âË?,"113,712","4,089,854",36.25,36.5,34.6,34.6,-0.4,77,
6443,?ÉÊô∂,"1,448,863","6,924,162",4.74,4.85,4.68,4.68,0.01,464,
6449,?∫ÈÇ¶,"204,035","4,609,071",23,23.1,22.1,22.15,-0.35,155,
6451,Ë®äËäØ-KY,"2,030,400","163,803,500",81.7,82.7,78,78,-1.2,"1,522",
6452,Â∫∑Â?-KY,"1,606,773","237,524,812",149.5,152.5,142.5,143.5,-3.5,"1,259",
6456,GIS-KY,"3,068,246","222,610,794",74.3,74.9,70.2,70.4,-2.2,"2,194",
6464,"?∞Êï∏Áß?,19","585""","2,139,435",109,111,107,111,0,20,
6477,ÂÆâÈ?,"329,000","5,666,100",17.5,17.5,17.1,17.1,-0.1,135,
6491,?∂Á¢©,"171,600","17,151,900",96.4,104,96.4,99.1,2.8,152,
6504,?óÂÖ≠,"1,462,320","206,382,800",143,145,138,138,-3.5,"1,132",
6505,"?∞Â???,7",848,"301""","537,013,960",68.9,69,67.8,68.2,-1.2,"4,706"
6525,?∑Ê?-KY,"335,409","15,525,514",46.1,47.3,45.1,46,-0.25,254,
6531,?õÊôÆ,"5,102,351","430,305,737",86.2,88.2,78.8,82.4,-0.7,"3,660",
6533,"?∂Â?Áß?,610","681""","47,112,394",79.3,79.7,73.1,73.4,-3.8,528,
6541,Ê≥∞Á?-KY,"1,102,216","30,938,469",29.4,30.25,26.8,26.85,-2.9,670,
6552,"?ìËèØ??,2",206,"201""","101,139,775",45.35,47.65,44.25,44.65,0.4,"1,553"
6558,"?àËÉΩÈ´?,3",729,"614""","115,181,847",32.1,32.8,29.65,29.65,-3.25,"2,643"
6573,?πÊ?-KY,"60,000","933,400",16.4,16.4,15.1,15.35,-0.85,48,
6579,?îÊ?,"115,041","6,936,692",60.8,60.9,59.7,60.2,-0.5,82,
6581,?ºËÅØ,"142,268","7,501,701",54.9,55,51,51,-4.2,106,
6582,?≥Ë?,"466,301","33,511,477",75,75,68,68,-5.7,396,
6591,?ïÂ?-KY,"375,000","12,135,750",32.85,33.1,31.35,31.5,-0.7,283,
6592,?åÊΩ§‰ºÅÊ•≠,"2,063,539","128,593,018",62,63.2,62,62,0,"1,294",
6605,Â∏ùÂØ∂,"307,436","12,949,329",43.2,43.5,41,41,-2,228,
6625,ÂøÖÊ?,"60,614","1,605,816",24.75,28.2,24.75,27.8,0.7,56,
6641,?∫Â£´Âæ?KY,"67,500","3,449,050",51,51.9,50.4,51.1,0.1,53,
6655,ÁßëÂ?,"182,969","6,515,946",34.8,36,34.8,35.9,1.7,143,
6666,ÁæÖÈ???KY,"156,120","15,063,900",94.3,98.5,94.3,96.9,3.3,148,
6668,"‰∏≠Ê???,1",359,"229""","68,410,071",52.2,52.2,48.3,48.5,-2.7,893
6669,Á∑ØÁ?,"2,248,997","1,514,950,077",695,695,641,641,-33,"2,146",
6670,Âæ©Á??âÁî®,"836,300","118,487,448",141,146,138.5,140,1.5,794,
6671,‰∏âËÉΩ-KY,"121,000","3,839,100",31.15,32.8,30.85,31.75,1.05,77,
6672,È®∞Ë??ªÂ?-KY,"661,100","48,919,030",74,75.2,72.5,72.5,-1.1,537,
6674,?êÂØ∂ÁßëÊ?,"78,050","1,340,580",17.35,17.45,17,17.25,-0.2,64,
6698,?≠Ê??âÊ?,"567,465","23,692,989",44.9,44.9,39.8,40.1,-4.1,435,
6706,?†Áâπ,"999,601","70,484,146",74.4,74.4,66.9,67.2,-6.1,803,
6715,?âÂü∫,"313,103","22,086,210",72.1,73,67.2,69.9,-1.1,241,
8011,"?∞ÈÄ?,652","455""","7,515,897",11.4,12.2,11.05,11.05,-0.5,326,
8016,?ΩÂâµ,"4,132,044","492,824,472",121,123.5,112,112,-7,"2,961",
8021,Â∞ñÈ?,"1,962,450","32,444,825",16.8,17,16.05,16.1,-0.4,"1,190",
8028,"?áÈôΩ?äÂ?È´?,2",741,"637""","114,044,867",42.2,43.25,39.85,39.9,-1.35,"1,732"
8033,?∑Ë?,"321,252","2,281,588",7.07,7.21,7,7.05,-0.01,160,
8039,?∞Ëôπ,"3,668,344","149,742,019",41.4,41.85,39.5,39.55,-1.45,"2,158",
8046,?óÈõª,"16,084,477","767,353,468",46,49.15,45.3,47.6,2.9,"9,363",
8070,?∑ËèØ,"217,758","29,110,314",133.5,135,132,132.5,0,199,
8072,?ûÊ≥∞,"81,250","1,627,400",20.05,20.15,20,20,-0.05,63,
8081,?¥Êñ∞,"1,329,207","126,114,212",96.2,97,93.2,93.9,-0.5,994,
8101,?ØÂ?,"734,489","2,875,277",3.9,4.06,3.7,3.87,0.08,275,
8103,?öË?,"280,877","5,152,100",19,19.05,17.55,17.65,-1.15,165,
8104,?∏ÂØ∂,"222,220","6,090,080",27.7,28.05,26.65,26.75,-0.4,182,
8105,?åÂ∑®,"1,756,156","14,437,071",8.2,8.4,8.06,8.08,0.03,690,
8110,?ØÊù±,"2,105,325","15,642,911",7.51,7.62,7.24,7.24,-0.26,770,
8112,?≥‰?,"4,799,068","143,724,869",30.3,30.55,29.5,29.5,-0.6,"2,940",
8114,"?ØÊ®∫??,196","025""","14,224,025",72.1,73.8,72,72.6,0.6,176,
8131,"Á¶èÊ?Áß?,1",501,"100""","47,564,810",32.1,32.3,31.45,31.5,-0.35,943
8150,?óË?,"5,911,679","152,103,925",26,26.2,25,25,-0.45,"3,126",
8163,?îÊñπ,"2,382,783","69,075,930",29.5,29.55,28.5,28.6,-0.05,"1,685",
8201,?°Êïµ,"100,000","740,090",7.6,7.6,7.12,7.29,-0.23,69,
8210,?§Ë?,"2,289,161","165,246,300",72.4,74,70,70,1,"1,792",
8213,ÂøóË?,"1,380,830","37,278,882",27.2,27.35,26.75,26.75,-0.3,720,
8215,"?éÂü∫??,2",449,"235""","31,671,864",12.75,13.2,12.5,12.65,-0.15,"1,059"
8222,ÂØ∂‰?,"295,139","3,452,722",12.6,12.6,11.4,11.75,-0.85,176,
8249,?±Â?,"248,211","4,157,119",16.85,17,16.3,16.3,-0.3,148,
8261,ÂØåÈ?,"399,023","6,799,892",17.1,17.5,16.5,16.7,-0.2,322,
8271,ÂÆáÁûª,"3,905,157","136,888,988",36.6,37,33.4,33.55,-2.15,"2,497",
8341,?•Â?,"297,832","61,656,560",208.5,210,202.5,203,-3.5,396,
8367,Âª∫Êñ∞?ãÈ?,"122,000","2,579,500",21.5,21.5,20.75,20.9,-0.3,71,
8374,ÁæÖÊ?,"139,266","2,006,855",14.65,14.65,14.05,14.45,0.1,99,
8404,?æÂ??àÊ•≠-KY,"536,751","15,169,252",28,28.8,27.65,28.1,0.3,389,
8411,Á¶èË?-KY,"164,310","1,577,471",9.66,9.99,9.42,9.96,0.11,129,
8422,"?ØÂØßË°?,433","589""","59,627,693",139.5,139.5,136,136,-3.5,447,
8427,?∫Â?-KY,"15,000","574,750",39.1,39.1,37,37.95,-0.55,15,
8429,?ëÈ?-KY,"815,503","5,315,517",6.45,6.68,6.33,6.44,0,328,
8442,Â®ÅÂ?-KY,"173,001","7,888,846",43.95,46.2,43.95,45.95,1.95,58,
8443,?øÁò¶,"49,066","399,689",8.2,8.22,8,8.07,0,45,
8454,"ÂØåÈÇ¶Â™?,294","552""","93,310,328",307,331,303,314,6.5,279,
8462,?èÊ?,"780,890","95,931,428",128.5,130.5,117,117,-12.5,941,
8463,"ÊΩ§Ê≥∞??,483","380""","15,250,148",33.5,33.85,29.8,29.9,-3.1,353,
8464,?ÑË?,"1,491,700","292,066,800",207.5,207.5,186.5,189,0,"1,259",
8466,ÁæéÂ???KY,"62,000","3,743,500",61,61.2,58.7,60.2,-0.5,41,
8467,Ê≥¢Â?-KY,"16,000","643,550",39.5,40.95,39.5,40.2,-0.75,14,
8473,"Â±±Ê?Ê∞?,235","283""","8,537,227",37.05,37.05,35.7,35.75,-1.65,156,
8478,?±Âì•?äË?,"182,000","5,233,000",26.85,29.3,26.85,28.4,1.75,131,
8480,Ê≥∞Ê?-KY,"29,125","3,425,062",118.5,118.5,117,117.5,0,31,
8481,?ø‰º∏,"21,000","1,055,000",51,51,49.7,49.7,-0.9,21,
8482,?ÜÂ?-KY,"103,025","11,977,887",120,120,110.5,114.5,-5.5,81,
8488,?âÊ?-KY,"14,000","174,100",12.25,12.65,12.25,12.3,-0.3,14,
8497,?ºÂ??≥Â?,"302,927","20,551,155",67.9,67.9,67.8,67.8,-0.1,287,
8499,ÈºéÁÇ´-KY,"149,030","10,124,340",67.2,69.7,66.7,66.7,0.7,133,
8926,"?∞Ê±Ω??,2",873,"470""","82,902,779",28.85,29.25,28.55,28.6,-0.25,"1,456"
8940,"?∞Â§©??,40","000""","348,290",8.97,8.97,8.42,8.79,-0.21,33,
8996,È´òÂ?,"5,291,290","242,374,639",46.4,47.45,44.2,44.5,-0.35,"3,640",
9103,ÁæéÂæ∑?´Á?-DR,"8,273,100","34,460,120",4.38,4.38,4.03,4.03,-0.31,"1,785",
910322,Â∫∑Â∏´??DR,"116,000","2,963,600",25.7,25.95,25.4,25.7,1,27,
910482,?ñÈ¶¨‰∏?DR,"13,704","3,654",0.26,0.27,0.26,0.27,0,7,
9105,Ê≥∞È?ÂØ?DR,"5,030,903","12,586,915",2.59,2.59,2.45,2.45,-0.06,702,
910861,Á•ûÂ?-DR,"28,000","183,580",6.37,6.66,6.37,6.66,-0.21,15,
9110,Ë∂äÂ???DR,"138,000","179,800",1.35,1.4,1.27,1.31,-0.04,34,
911608,?éË?-DR,"52,000","47,000",0.91,0.92,0.9,0.92,-0.02,8,
911616,?úÂ∫∑-DR,"367,000","261,740",0.73,0.74,0.7,0.71,-0.03,55,
911622,Ê≥∞Ë?‰∫?DR,0,0,0,0,0,0,0,0,
911868,?åÊñπ?ãÂ?-DR,"83,000","72,880",0.89,0.89,0.87,0.88,-0.01,16,
912000,?®Ë?Áß?DR,"27,000","45,020",1.75,1.75,1.63,1.63,-0.12,13,
912398,?ã‰Ω≥-DR,"10,000","29,300",3.35,3.35,2.85,2.88,X0.00,4,
9136,Â∑®È®∞-DR,"263,000","1,528,160",5.94,5.94,5.72,5.87,-0.07,63,
